ASMT_ID,EFF_METAID,SITE_ID,SITE_PID,METHOD,SUBMITYEAR,ASMT_YEAR,VERIF_EFF,ASMT_URL,INFO_URL,GOV_ACT,GOV_ASMT,DP_BIO,DP_OTHER,MGMT_OBSET,MGMT_OBMAN,MGMT_ADAPT,MGMT_STAFF,MGMT_BUDGT,MGMT_THRTS,MGMT_MON,OUT_BIO
1512,18,555786300,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1514,18,555786305,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1517,18,555786308,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1518,18,555557121,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1521,18,135997,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1524,18,135804,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1526,18,555786350,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1527,18,555786351,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1531,18,555787513,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1533,18,555786897,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1536,18,136191,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1540,18,555786904,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1541,18,555786905,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1542,18,555786906,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1543,18,555786469,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1545,18,555786471,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1547,18,555786476,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1548,18,555786477,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1549,18,555786478,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1550,18,555786543,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1551,18,555786544,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1552,18,68299,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1555,18,555786561,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1556,18,555786562,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1558,18,555786564,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1559,18,169958,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1560,18,555556933,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1561,18,555786849,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1563,18,555786851,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1565,18,555786853,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1566,18,169832,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1568,18,170023,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1570,18,135958,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1572,18,169915,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1573,18,135403,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1574,18,555787651,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1575,18,555787652,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1578,18,138048,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1579,18,135874,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1580,18,220069,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1582,18,555786211,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1583,18,555786212,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1584,18,555786213,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1585,18,555786214,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1588,18,555786726,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1589,18,555786732,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1591,18,139503,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1594,18,555786737,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1596,18,555786739,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1602,18,555786716,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1603,18,555786717,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1604,18,555786676,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1605,18,555786677,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1607,18,555787609,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1610,18,139571,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1611,18,555786594,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1612,18,555786595,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1613,18,555786596,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1614,18,138850,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1617,18,140749,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1619,18,138650,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1620,18,138594,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1622,18,141075,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1623,18,555786366,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1627,18,555786424,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1629,18,555786426,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1630,18,555786427,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1632,18,555787637,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1635,18,198335,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1636,18,168119,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1637,18,169900,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1639,18,555786386,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1644,18,555786540,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1645,18,555786541,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1648,18,555787643,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1649,18,170134,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1650,18,94083,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1651,18,140540,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1652,18,555787586,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1654,18,555787588,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1656,18,135525,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1658,18,170196,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1660,18,136104,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1662,18,555786530,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1663,18,140427,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1665,18,555787644,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1668,18,555786150,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1671,18,555786153,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1672,18,68303,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1673,18,555786155,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1679,18,555786986,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1680,18,140386,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1681,18,555786990,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1686,18,555786997,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1687,18,137233,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1688,18,141065,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1689,18,555787006,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1698,18,141005,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1700,18,139716,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1702,18,555786932,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1709,18,555786950,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1711,18,555786952,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1714,18,555786955,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1716,18,555786960,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1717,18,555786981,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1718,18,139264,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1721,18,138122,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1722,18,140021,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1725,18,137330,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1726,18,555786969,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1727,18,555786987,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1730,18,68265,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1732,18,135976,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1733,18,555786976,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1734,18,68255,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1736,18,555786979,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1741,18,555786885,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1742,18,136081,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1745,18,555786895,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1747,18,138039,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1749,18,169762,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1750,18,220044,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1751,18,220051,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1752,18,220058,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1753,18,166919,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1755,18,220091,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1756,18,900584,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1757,18,220092,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1760,18,166877,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1764,18,555787526,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1766,18,903063,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1767,18,220096,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1770,18,169672,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1771,18,169692,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1774,18,555787529,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1778,18,555786764,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1779,18,555786765,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1782,18,137668,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1783,18,555786770,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1796,18,555786754,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1799,18,555786787,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1801,18,135876,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1809,18,555786795,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1812,18,555786798,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1819,18,900587,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1820,18,136135,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1822,18,555787633,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1825,18,555786159,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1832,18,555786809,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1836,18,555786831,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1837,18,555786727,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1847,18,555786747,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1850,18,169634,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1851,18,139768,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1854,18,555786767,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1857,18,555786773,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1858,18,135658,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1860,18,555786775,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1862,18,555786708,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1864,18,555786710,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1865,18,555786711,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1867,18,138961,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1868,18,169695,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1873,18,555786784,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1875,18,139182,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1877,18,555786693,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1880,18,136008,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1883,18,555786696,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1885,18,555786701,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1887,18,169763,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1888,18,555786718,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1889,18,555786719,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1890,18,555786720,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1892,18,138524,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1893,18,555786723,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1894,18,555786724,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1902,18,555786659,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
