iso3,pame_pa_marine_area,pame_pa_land_area,pame_percentage_pa_marine_cover,pame_percentage_pa_land_cover
MRT,6394,6272.87,3.69,0.61
MSR,0,0,0,0
MTQ,0,139.58,0,12.58
MUS,2,63.99,0,3.14
MWI,0,15336.69,0,12.92
MYS,2101,9997.44,0.41,3.04
MYT,0,0,0,0
NAM,9499,137405.11,1.69,16.67
NCL,17026,323.35,1.25,1.73
NER,0,215750.5,0,18.25
NFK,0,1.64,0,4.23
NGA,0,15524.38,0,1.71
NIC,705,18526.61,0.33,14.45
NIU,0,56.99,0,21.79
NLD,2375,173.08,3.71,0.49
NOR,145,1085.41,0.02,0.33
NPL,0,25549.99,0,17.33
NRU,0,0,0,0
NZL,14644,26025.36,0.36,9.64
OMN,0,0,0,0
PAK,0,236.41,0,0.03
PAN,3318,17785.26,1,23.85
PCN,11,29.67,0,58.94
PER,66321,194427.47,7.76,15.05
PHL,1935,5662.42,0.1,1.92
PLW,1015,65.45,0.16,13.98
PNG,3069,13628.62,0.13,2.95
POL,7297,48379.9,23.9,15.51
PRI,0,0,0,0
PRK,0,0,0,0
PRT,4809,11283.06,0.28,12.28
PRY,0,9965.63,0,2.5
PSE,0,0,0,0
PYF,3152,319.31,0.06,7.91
QAT,0,0,0,0
REU,0,1059.92,0,42.26
ROU,204,13943.76,0.69,5.85
RUS,18847,347985.66,0.25,2.06
RWA,0,2206.84,0,8.69
SAU,0,16760.08,0,0.87
SDN,2113,16324.57,3.36,0.88
SEN,2497,11343.32,1.57,5.81
SGP,0,32.06,0,4.46
SGS,0,0,0,0
SHN,3912,78.98,0.24,19.9
SJM,0,0,0,0
SLB,514,341.77,0.03,1.21
SLE,398,3558.41,0.25,4.93
SLV,207,74.1,0.22,0.36
SOM,0,0,0,0
SPM,0,0,0,0
SRB,0,4306.78,0,4.87
SSD,0,58886.23,0,9.3
STP,0,0,0,0
SUR,1995,21256.49,1.48,14.82
SVK,0,10787.25,0,22
SVN,0,1956.32,0,9.65
SWE,1112,10568.53,0.72,2.35
SWZ,0,697.51,0,4.03
SXM,0,0,0,0
SYC,2436,191.37,0.18,34.06
SYR,13,111.52,0.13,0.06
TCA,0,0,0,0
TCD,0,171262.42,0,13.49
TGO,0,8309.38,0,14.64
THA,1500,39878.36,0.5,7.76
TJK,0,26457.12,0,18.72
TKL,0,0,0,0
TKM,2235,16921.75,3.65,3.46
TLS,561,720.7,0.72,4.84
TON,21,55.14,0,7.46
TTO,0,0,0,0
TUN,229,2495.37,0.23,1.61
TUR,123,801.83,0.05,0.1
TUV,0,0,0,0
TWN,0,0,0,0
TZA,4191,129473.58,1.74,13.76
UGA,0,15956.8,0,6.61
UKR,175,7108.69,0.13,1.19
UMI,2293,0.47,0.12,1.43
URY,979,2008.32,0.68,1.14
USA,1518068,136377.69,17.63,1.44
UZB,0,22631.39,0,5.04
VCT,50,48.12,0.14,12.35
VEN,5887,131894.08,1.25,14.47
VGB,0,0,0,0
VIR,23,36.34,0.06,10.34
VNM,840,13622.36,0.11,4.18
VUT,0,29.96,0,0.25
WLF,0,0,0,0
WSM,0,0,0,0
YEM,1392,2835.51,0.26,0.63
ZAF,3501,77924.79,0.23,6.39
ZMB,0,116884.3,0,15.56
ZWE,0,24285.04,0,6.22
