evaluation,wdpa_id,ISO3,methodolog,year,url,metadata_i,name,designatio,source_dat,source_res,source_yea,source_lan,restricted,assessment
27,555622079,ARE,METT,2016,Not Reported,1,Ras Ghanada,Protected Area,UAE Management Effectiveness Evaluation,Ministry of Climate Change and Environment,2018,Arabic,FALSE,FALSE
28,555542723,ARE,METT,2016,Not Reported,1,Wadi Wurayah,Protected Area,UAE Management Effectiveness Evaluation,Ministry of Climate Change and Environment,2018,Arabic,FALSE,FALSE
29,555622083,ARE,METT,2016,Not Reported,1,Wasit,Protected Area,UAE Management Effectiveness Evaluation,Ministry of Climate Change and Environment,2018,Arabic,FALSE,FALSE
31,555622068,ARE,METT,2016,Not Reported,1,Lemdynah Protected Area,Protected Area,UAE Management Effectiveness Evaluation,Ministry of Climate Change and Environment,2018,Arabic,FALSE,FALSE
32,555625667,AND,National Inventory,2016,Not Reported,2,Parc Natural de la Vall de Sorteny,Municipal Natural Park,Andorra Management Effectiveness Evaluation,"Ministeri de Medi Ambient, Agricultura i Sostenibilitat",2018,Catalan,FALSE,FALSE
33,555625666,AND,National Inventory,2017,Not Reported,2,Parc Natural Comunal de les Valls del Comapedrosa,Municipal Natural Park,Andorra Management Effectiveness Evaluation,"Ministeri de Medi Ambient, Agricultura i Sostenibilitat",2018,Catalan,FALSE,FALSE
34,555549480,AND,National Inventory,2016,Not Reported,2,Parc Natural de la Vall de Sorteny,"Ramsar Site, Wetland of International Importance",Andorra Management Effectiveness Evaluation,"Ministeri de Medi Ambient, Agricultura i Sostenibilitat",2018,Catalan,FALSE,FALSE
35,555592572,AND,National Inventory,2017,Not Reported,2,Parc Natural Comunal de les Valls del Comapedrosa,"Ramsar Site, Wetland of International Importance",Andorra Management Effectiveness Evaluation,"Ministeri de Medi Ambient, Agricultura i Sostenibilitat",2018,Catalan,FALSE,FALSE
36,19612,ARG,METT,2010,Not Reported,3,Punta Tombo,Tourist Nature Reserve,Áreas Protegidas enfocadas a la Efectividad del Manejo,"Jorge Fabricant – Técnico Dirección de Ordenamiento Territorial, Suelos y Lucha contra la Desertificación, del Ministerio de Ambiente y Desarrollo Sustentable",2018,Spanish,FALSE,FALSE
37,555558356,ARG,METT,2012,Not Reported,3,Aves Migratorias,Provincial Reserve,Áreas Protegidas enfocadas a la Efectividad del Manejo,"Jorge Fabricant – Técnico Dirección de Ordenamiento Territorial, Suelos y Lucha contra la Desertificación, del Ministerio de Ambiente y Desarrollo Sustentable",2018,Spanish,FALSE,FALSE
38,97481,ARG,METT,2009,Not Reported,3,Bahí­a de San Antonio,Protected Landscape,Áreas Protegidas enfocadas a la Efectividad del Manejo,"Jorge Fabricant – Técnico Dirección de Ordenamiento Territorial, Suelos y Lucha contra la Desertificación, del Ministerio de Ambiente y Desarrollo Sustentable",2018,Spanish,FALSE,FALSE
39,21226,ARG,METT,2009,Not Reported,3,Cabo Ví­rgenes,Provincial Reserve,Áreas Protegidas enfocadas a la Efectividad del Manejo,"Jorge Fabricant – Técnico Dirección de Ordenamiento Territorial, Suelos y Lucha contra la Desertificación, del Ministerio de Ambiente y Desarrollo Sustentable",2018,Spanish,FALSE,FALSE
40,300021,ARG,Valdiviana,2001,Not Reported,3,Cañada Molina,Provincial Nature Monument,Áreas Protegidas enfocadas a la Efectividad del Manejo,"Jorge Fabricant – Técnico Dirección de Ordenamiento Territorial, Suelos y Lucha contra la Desertificación, del Ministerio de Ambiente y Desarrollo Sustentable",2018,Spanish,FALSE,FALSE
41,300025,ARG,Valdiviana,2001,Not Reported,3,Cerro Currumahuida,Forest Reserve,Áreas Protegidas enfocadas a la Efectividad del Manejo,"Jorge Fabricant – Técnico Dirección de Ordenamiento Territorial, Suelos y Lucha contra la Desertificación, del Ministerio de Ambiente y Desarrollo Sustentable",2018,Spanish,FALSE,FALSE
42,18,ARG,METT,2009,Not Reported,3,Chaco,National Park,Áreas Protegidas enfocadas a la Efectividad del Manejo,"Jorge Fabricant – Técnico Dirección de Ordenamiento Territorial, Suelos y Lucha contra la Desertificación, del Ministerio de Ambiente y Desarrollo Sustentable",2018,Spanish,FALSE,FALSE
43,30844,ARG,METT,2009,Not Reported,3,Complejo Islote Lobos,Scientific Nature Reserve,Áreas Protegidas enfocadas a la Efectividad del Manejo,"Jorge Fabricant – Técnico Dirección de Ordenamiento Territorial, Suelos y Lucha contra la Desertificación, del Ministerio de Ambiente y Desarrollo Sustentable",2018,Spanish,FALSE,FALSE
44,16873,ARG,Valdiviana,2001,Not Reported,3,Copahue Caviahue,Provincial Park,Áreas Protegidas enfocadas a la Efectividad del Manejo,"Jorge Fabricant – Técnico Dirección de Ordenamiento Territorial, Suelos y Lucha contra la Desertificación, del Ministerio de Ambiente y Desarrollo Sustentable",2018,Spanish,FALSE,FALSE
45,16846,ARG,METT,2010,Not Reported,3,Copo,National Park,Áreas Protegidas enfocadas a la Efectividad del Manejo,"Jorge Fabricant – Técnico Dirección de Ordenamiento Territorial, Suelos y Lucha contra la Desertificación, del Ministerio de Ambiente y Desarrollo Sustentable",2018,Spanish,FALSE,FALSE
46,98129,ARG,METT,2012,Not Reported,3,Costa Atlántica Tierra del Fuego,Hemispheric Shorebird Reserve and Ramsar Site,Áreas Protegidas enfocadas a la Efectividad del Manejo,"Jorge Fabricant – Técnico Dirección de Ordenamiento Territorial, Suelos y Lucha contra la Desertificación, del Ministerio de Ambiente y Desarrollo Sustentable",2018,Spanish,FALSE,FALSE
47,10722,ARG,GOBI Survey,2006,Not Reported,3,Costero del Sur,UNESCO-MAB Biosphere Reserve,Áreas Protegidas enfocadas a la Efectividad del Manejo,"Jorge Fabricant – Técnico Dirección de Ordenamiento Territorial, Suelos y Lucha contra la Desertificación, del Ministerio de Ambiente y Desarrollo Sustentable",2018,Spanish,FALSE,FALSE
48,220252,ARG,GOBI Survey,2006,Not Reported,3,Delta del Parana,UNESCO-MAB Biosphere Reserve,Áreas Protegidas enfocadas a la Efectividad del Manejo,"Jorge Fabricant – Técnico Dirección de Ordenamiento Territorial, Suelos y Lucha contra la Desertificación, del Ministerio de Ambiente y Desarrollo Sustentable",2018,Spanish,FALSE,FALSE
49,77777,ARG,Valdiviana,2001,Not Reported,3,Boswell Bay Beaches,State Marine Park,Áreas Protegidas enfocadas a la Efectividad del Manejo,"Jorge Fabricant – Técnico Dirección de Ordenamiento Territorial, Suelos y Lucha contra la Desertificación, del Ministerio de Ambiente y Desarrollo Sustentable",2018,Spanish,FALSE,FALSE
50,16890,ARG,METT,2005,Not Reported,3,Iberá,Provincial Nature Reserve,Áreas Protegidas enfocadas a la Efectividad del Manejo,"Jorge Fabricant – Técnico Dirección de Ordenamiento Territorial, Suelos y Lucha contra la Desertificación, del Ministerio de Ambiente y Desarrollo Sustentable",2018,Spanish,FALSE,FALSE
51,4332,ARG,METT,2003,Not Reported,3,Iguazú,National Reserve,Áreas Protegidas enfocadas a la Efectividad del Manejo,"Jorge Fabricant – Técnico Dirección de Ordenamiento Territorial, Suelos y Lucha contra la Desertificación, del Ministerio de Ambiente y Desarrollo Sustentable",2018,Spanish,FALSE,FALSE
52,10901,ARG,WH Outlook Report,2014,Not Reported,3,Parc national de l'Iguazu,World Heritage Site,Áreas Protegidas enfocadas a la Efectividad del Manejo,"Jorge Fabricant – Técnico Dirección de Ordenamiento Territorial, Suelos y Lucha contra la Desertificación, del Ministerio de Ambiente y Desarrollo Sustentable",2018,Spanish,FALSE,FALSE
53,16900,ARG,METT,2009,Not Reported,3,Rí­a de Puerto Deseado,Intangible Nature Reserve,Áreas Protegidas enfocadas a la Efectividad del Manejo,"Jorge Fabricant – Técnico Dirección de Ordenamiento Territorial, Suelos y Lucha contra la Desertificación, del Ministerio de Ambiente y Desarrollo Sustentable",2018,Spanish,FALSE,FALSE
54,220291,ARG,WH Outlook Report,2014,Not Reported,3,Parcs naturels d'Ischigualasto / Talampaya,World Heritage Site,Áreas Protegidas enfocadas a la Efectividad del Manejo,"Jorge Fabricant – Técnico Dirección de Ordenamiento Territorial, Suelos y Lucha contra la Desertificación, del Ministerio de Ambiente y Desarrollo Sustentable",2018,Spanish,FALSE,FALSE
55,300054,ARG,METT,2010,Not Reported,3,Isla Pinguinos,Provincial Reserve,Áreas Protegidas enfocadas a la Efectividad del Manejo,"Jorge Fabricant – Técnico Dirección de Ordenamiento Territorial, Suelos y Lucha contra la Desertificación, del Ministerio de Ambiente y Desarrollo Sustentable",2018,Spanish,FALSE,FALSE
56,900669,ARG,METT,2009,Not Reported,3,Jaaukanigás,"Ramsar Site, Wetland of International Importance",Áreas Protegidas enfocadas a la Efectividad del Manejo,"Jorge Fabricant – Técnico Dirección de Ordenamiento Territorial, Suelos y Lucha contra la Desertificación, del Ministerio de Ambiente y Desarrollo Sustentable",2018,Spanish,FALSE,FALSE
57,300059,ARG,Valdiviana,2001,Not Reported,3,Lago Baggilt,Protected Nature Area,Áreas Protegidas enfocadas a la Efectividad del Manejo,"Jorge Fabricant – Técnico Dirección de Ordenamiento Territorial, Suelos y Lucha contra la Desertificación, del Ministerio de Ambiente y Desarrollo Sustentable",2018,Spanish,FALSE,FALSE
58,300060,ARG,Valdiviana,2001,Not Reported,3,Lago Guacho,Forest Reserve,Áreas Protegidas enfocadas a la Efectividad del Manejo,"Jorge Fabricant – Técnico Dirección de Ordenamiento Territorial, Suelos y Lucha contra la Desertificación, del Ministerio de Ambiente y Desarrollo Sustentable",2018,Spanish,FALSE,FALSE
59,17,ARG,Parks profiles,2006,Not Reported,3,Lago Puelo,National Park,Áreas Protegidas enfocadas a la Efectividad del Manejo,"Jorge Fabricant – Técnico Dirección de Ordenamiento Territorial, Suelos y Lucha contra la Desertificación, del Ministerio de Ambiente y Desarrollo Sustentable",2018,Spanish,FALSE,FALSE
60,17,ARG,Valdiviana,2001,Not Reported,3,Lago Puelo,National Park,Áreas Protegidas enfocadas a la Efectividad del Manejo,"Jorge Fabricant – Técnico Dirección de Ordenamiento Territorial, Suelos y Lucha contra la Desertificación, del Ministerio de Ambiente y Desarrollo Sustentable",2018,Spanish,FALSE,FALSE
61,166726,ARG,Valdiviana,2001,Not Reported,3,Lago Puelo,National Reserve,Áreas Protegidas enfocadas a la Efectividad del Manejo,"Jorge Fabricant – Técnico Dirección de Ordenamiento Territorial, Suelos y Lucha contra la Desertificación, del Ministerio de Ambiente y Desarrollo Sustentable",2018,Spanish,FALSE,FALSE
62,97479,ARG,Valdiviana,2001,Not Reported,3,Laguna Los Juncos,Wildlife Reserve,Áreas Protegidas enfocadas a la Efectividad del Manejo,"Jorge Fabricant – Técnico Dirección de Ordenamiento Territorial, Suelos y Lucha contra la Desertificación, del Ministerio de Ambiente y Desarrollo Sustentable",2018,Spanish,FALSE,FALSE
63,900662,ARG,GOBI Survey,2006,Not Reported,3,Laguna Oca del Rio Paraguay,UNESCO-MAB Biosphere Reserve,Áreas Protegidas enfocadas a la Efectividad del Manejo,"Jorge Fabricant – Técnico Dirección de Ordenamiento Territorial, Suelos y Lucha contra la Desertificación, del Ministerio de Ambiente y Desarrollo Sustentable",2018,Spanish,FALSE,FALSE
64,7,ARG,Valdiviana,2001,Not Reported,3,Laní­n,National Park,Áreas Protegidas enfocadas a la Efectividad del Manejo,"Jorge Fabricant – Técnico Dirección de Ordenamiento Territorial, Suelos y Lucha contra la Desertificación, del Ministerio de Ambiente y Desarrollo Sustentable",2018,Spanish,FALSE,FALSE
65,4330,ARG,Valdiviana,2001,Not Reported,3,Laní­n,National Reserve,Áreas Protegidas enfocadas a la Efectividad del Manejo,"Jorge Fabricant – Técnico Dirección de Ordenamiento Territorial, Suelos y Lucha contra la Desertificación, del Ministerio de Ambiente y Desarrollo Sustentable",2018,Spanish,FALSE,FALSE
66,7,ARG,Parks profiles,2006,Not Reported,3,Laní­n,National Park,Áreas Protegidas enfocadas a la Efectividad del Manejo,"Jorge Fabricant – Técnico Dirección de Ordenamiento Territorial, Suelos y Lucha contra la Desertificación, del Ministerio de Ambiente y Desarrollo Sustentable",2018,Spanish,FALSE,FALSE
67,900725,ARG,GOBI Survey,2006,Not Reported,3,Las Yungas,UNESCO-MAB Biosphere Reserve,Áreas Protegidas enfocadas a la Efectividad del Manejo,"Jorge Fabricant – Técnico Dirección de Ordenamiento Territorial, Suelos y Lucha contra la Desertificación, del Ministerio de Ambiente y Desarrollo Sustentable",2018,Spanish,FALSE,FALSE
68,900725,ARG,METT,2003,Not Reported,3,Las Yungas,UNESCO-MAB Biosphere Reserve,Áreas Protegidas enfocadas a la Efectividad del Manejo,"Jorge Fabricant – Técnico Dirección de Ordenamiento Territorial, Suelos y Lucha contra la Desertificación, del Ministerio de Ambiente y Desarrollo Sustentable",2018,Spanish,FALSE,FALSE
69,61822,ARG,METT,2003,Not Reported,3,Los Alerces,National Reserve,Áreas Protegidas enfocadas a la Efectividad del Manejo,"Jorge Fabricant – Técnico Dirección de Ordenamiento Territorial, Suelos y Lucha contra la Desertificación, del Ministerio de Ambiente y Desarrollo Sustentable",2018,Spanish,FALSE,FALSE
70,8,ARG,Parks profiles,2006,Not Reported,3,Los Alerces,National Park,Áreas Protegidas enfocadas a la Efectividad del Manejo,"Jorge Fabricant – Técnico Dirección de Ordenamiento Territorial, Suelos y Lucha contra la Desertificación, del Ministerio de Ambiente y Desarrollo Sustentable",2018,Spanish,FALSE,FALSE
71,8,ARG,Valdiviana,2001,Not Reported,3,Los Alerces,National Park,Áreas Protegidas enfocadas a la Efectividad del Manejo,"Jorge Fabricant – Técnico Dirección de Ordenamiento Territorial, Suelos y Lucha contra la Desertificación, del Ministerio de Ambiente y Desarrollo Sustentable",2018,Spanish,FALSE,FALSE
72,61822,ARG,Valdiviana,2001,Not Reported,3,Los Alerces,National Reserve,Áreas Protegidas enfocadas a la Efectividad del Manejo,"Jorge Fabricant – Técnico Dirección de Ordenamiento Territorial, Suelos y Lucha contra la Desertificación, del Ministerio de Ambiente y Desarrollo Sustentable",2018,Spanish,FALSE,FALSE
73,22,ARG,Valdiviana,2001,Not Reported,3,Los Arrayanes,National Park,Áreas Protegidas enfocadas a la Efectividad del Manejo,"Jorge Fabricant – Técnico Dirección de Ordenamiento Territorial, Suelos y Lucha contra la Desertificación, del Ministerio de Ambiente y Desarrollo Sustentable",2018,Spanish,FALSE,FALSE
74,16892,ARG,METT,2003,Not Reported,3,Monte de las Barrancas,Wildlife Refuge,Áreas Protegidas enfocadas a la Efectividad del Manejo,"Jorge Fabricant – Técnico Dirección de Ordenamiento Territorial, Suelos y Lucha contra la Desertificación, del Ministerio de Ambiente y Desarrollo Sustentable",2018,Spanish,FALSE,FALSE
75,2570,ARG,WH Outlook Report,2014,Not Reported,3,Parc national de Los Glaciares,World Heritage Site,Áreas Protegidas enfocadas a la Efectividad del Manejo,"Jorge Fabricant – Técnico Dirección de Ordenamiento Territorial, Suelos y Lucha contra la Desertificación, del Ministerio de Ambiente y Desarrollo Sustentable",2018,Spanish,FALSE,FALSE
76,97545,ARG,METT,2009,Not Reported,3,Mburucuyá,National Park,Áreas Protegidas enfocadas a la Efectividad del Manejo,"Jorge Fabricant – Técnico Dirección de Ordenamiento Territorial, Suelos y Lucha contra la Desertificación, del Ministerio de Ambiente y Desarrollo Sustentable",2018,Spanish,FALSE,FALSE
77,166727,ARG,METT,2003,Not Reported,3,Monte León,National Reserve,Áreas Protegidas enfocadas a la Efectividad del Manejo,"Jorge Fabricant – Técnico Dirección de Ordenamiento Territorial, Suelos y Lucha contra la Desertificación, del Ministerio de Ambiente y Desarrollo Sustentable",2018,Spanish,FALSE,FALSE
78,11646,ARG,GOBI Survey,2006,Not Reported,3,Ñancuñan,Ecological and Forest Reserve,Áreas Protegidas enfocadas a la Efectividad del Manejo,"Jorge Fabricant – Técnico Dirección de Ordenamiento Territorial, Suelos y Lucha contra la Desertificación, del Ministerio de Ambiente y Desarrollo Sustentable",2018,Spanish,FALSE,FALSE
79,2497,ARG,Parks profiles,2005,Not Reported,3,Nahuel Huapi,National Park,Áreas Protegidas enfocadas a la Efectividad del Manejo,"Jorge Fabricant – Técnico Dirección de Ordenamiento Territorial, Suelos y Lucha contra la Desertificación, del Ministerio de Ambiente y Desarrollo Sustentable",2018,Spanish,FALSE,FALSE
80,2497,ARG,Valdiviana,2001,Not Reported,3,Nahuel Huapi,National Park,Áreas Protegidas enfocadas a la Efectividad del Manejo,"Jorge Fabricant – Técnico Dirección de Ordenamiento Territorial, Suelos y Lucha contra la Desertificación, del Ministerio de Ambiente y Desarrollo Sustentable",2018,Spanish,FALSE,FALSE
81,61824,ARG,Valdiviana,2001,Not Reported,3,Nahuel Huapi,National Reserve,Áreas Protegidas enfocadas a la Efectividad del Manejo,"Jorge Fabricant – Técnico Dirección de Ordenamiento Territorial, Suelos y Lucha contra la Desertificación, del Ministerio de Ambiente y Desarrollo Sustentable",2018,Spanish,FALSE,FALSE
82,300073,ARG,Valdiviana,2001,Not Reported,3,Nant y Fall (Arroyo Las Caí­das),Tourist Nature Reserve,Áreas Protegidas enfocadas a la Efectividad del Manejo,"Jorge Fabricant – Técnico Dirección de Ordenamiento Territorial, Suelos y Lucha contra la Desertificación, del Ministerio de Ambiente y Desarrollo Sustentable",2018,Spanish,FALSE,FALSE
83,555558361,ARG,METT,2012,Not Reported,3,Patagonia Austral,Interjurisdictional Coastal Marine Park,Áreas Protegidas enfocadas a la Efectividad del Manejo,"Jorge Fabricant – Técnico Dirección de Ordenamiento Territorial, Suelos y Lucha contra la Desertificación, del Ministerio de Ambiente y Desarrollo Sustentable",2018,Spanish,FALSE,FALSE
84,198291,ARG,WH Outlook Report,2014,Not Reported,3,Pení­nsula Valdés,World Heritage Site,Áreas Protegidas enfocadas a la Efectividad del Manejo,"Jorge Fabricant – Técnico Dirección de Ordenamiento Territorial, Suelos y Lucha contra la Desertificación, del Ministerio de Ambiente y Desarrollo Sustentable",2018,Spanish,FALSE,FALSE
85,555558344,ARG,METT,2012,Not Reported,3,Puerto Lobos,Protected Landscape,Áreas Protegidas enfocadas a la Efectividad del Manejo,"Jorge Fabricant – Técnico Dirección de Ordenamiento Territorial, Suelos y Lucha contra la Desertificación, del Ministerio de Ambiente y Desarrollo Sustentable",2018,Spanish,FALSE,FALSE
86,16880,ARG,METT,2009,Not Reported,3,Punta Bermeja,Protected Nature Area,Áreas Protegidas enfocadas a la Efectividad del Manejo,"Jorge Fabricant – Técnico Dirección de Ordenamiento Territorial, Suelos y Lucha contra la Desertificación, del Ministerio de Ambiente y Desarrollo Sustentable",2018,Spanish,FALSE,FALSE
87,16831,ARG,METT,2010,Not Reported,3,Punta Lara,Mixed Integral Nature Reserve,Áreas Protegidas enfocadas a la Efectividad del Manejo,"Jorge Fabricant – Técnico Dirección de Ordenamiento Territorial, Suelos y Lucha contra la Desertificación, del Ministerio de Ambiente y Desarrollo Sustentable",2018,Spanish,FALSE,FALSE
88,16882,ARG,METT,2009,Not Reported,3,Caleta de los Loros,Multiple Use Reserve,Áreas Protegidas enfocadas a la Efectividad del Manejo,"Jorge Fabricant – Técnico Dirección de Ordenamiento Territorial, Suelos y Lucha contra la Desertificación, del Ministerio de Ambiente y Desarrollo Sustentable",2018,Spanish,FALSE,FALSE
89,900779,ARG,Birdlife IBA,2013,Not Reported,3,Bañados del Rí­o Dulce y Laguna de Mar Chiquita,"Ramsar Site, Wetland of International Importance",Áreas Protegidas enfocadas a la Efectividad del Manejo,"Jorge Fabricant – Técnico Dirección de Ordenamiento Territorial, Suelos y Lucha contra la Desertificación, del Ministerio de Ambiente y Desarrollo Sustentable",2018,Spanish,FALSE,FALSE
90,555587123,ARG,Birdlife IBA,2013,Not Reported,3,Bañados R Dulce y Lag Mar Chiquita,Multiple Use Provincial Reserve,Áreas Protegidas enfocadas a la Efectividad del Manejo,"Jorge Fabricant – Técnico Dirección de Ordenamiento Territorial, Suelos y Lucha contra la Desertificación, del Ministerio de Ambiente y Desarrollo Sustentable",2018,Spanish,FALSE,FALSE
91,97483,ARG,Valdiviana,2001,Not Reported,3,Rí­a Azul - Lago Escondido,Protected Nature Area,Áreas Protegidas enfocadas a la Efectividad del Manejo,"Jorge Fabricant – Técnico Dirección de Ordenamiento Territorial, Suelos y Lucha contra la Desertificación, del Ministerio de Ambiente y Desarrollo Sustentable",2018,Spanish,FALSE,FALSE
92,97478,ARG,Valdiviana,2001,Not Reported,3,Rio Limay,Protected Nature Area - Protected Landscape,Áreas Protegidas enfocadas a la Efectividad del Manejo,"Jorge Fabricant – Técnico Dirección de Ordenamiento Territorial, Suelos y Lucha contra la Desertificación, del Ministerio de Ambiente y Desarrollo Sustentable",2018,Spanish,FALSE,FALSE
93,19604,ARG,METT,2003,Not Reported,3,Bahí­a de Samborombón,Integral Nature Reserve,Áreas Protegidas enfocadas a la Efectividad del Manejo,"Jorge Fabricant – Técnico Dirección de Ordenamiento Territorial, Suelos y Lucha contra la Desertificación, del Ministerio de Ambiente y Desarrollo Sustentable",2018,Spanish,FALSE,FALSE
94,23,ARG,GOBI Survey,2006,Not Reported,3,San Guillermo,UNESCO-MAB Biosphere Reserve,Áreas Protegidas enfocadas a la Efectividad del Manejo,"Jorge Fabricant – Técnico Dirección de Ordenamiento Territorial, Suelos y Lucha contra la Desertificación, del Ministerio de Ambiente y Desarrollo Sustentable",2018,Spanish,FALSE,FALSE
95,98129,ARG,METT,2009,Not Reported,3,Costa Atlántica Tierra del Fuego,Hemispheric Shorebird Reserve and Ramsar Site,Áreas Protegidas enfocadas a la Efectividad del Manejo,"Jorge Fabricant – Técnico Dirección de Ordenamiento Territorial, Suelos y Lucha contra la Desertificación, del Ministerio de Ambiente y Desarrollo Sustentable",2018,Spanish,FALSE,FALSE
96,555587168,ARG,GOBI Survey,2014,Not Reported,3,Valdes,UNESCO-MAB Biosphere Reserve,Áreas Protegidas enfocadas a la Efectividad del Manejo,"Jorge Fabricant – Técnico Dirección de Ordenamiento Territorial, Suelos y Lucha contra la Desertificación, del Ministerio de Ambiente y Desarrollo Sustentable",2018,Spanish,FALSE,FALSE
97,900725,ARG,GOBI Survey,2009,Not Reported,3,Las Yungas,UNESCO-MAB Biosphere Reserve,Áreas Protegidas enfocadas a la Efectividad del Manejo,"Jorge Fabricant – Técnico Dirección de Ordenamiento Territorial, Suelos y Lucha contra la Desertificación, del Ministerio de Ambiente y Desarrollo Sustentable",2018,Spanish,FALSE,FALSE
98,145501,ARG,GOBI Survey,2009,Not Reported,3,Parque Atlantico Mar Chiquito,UNESCO-MAB Biosphere Reserve,Áreas Protegidas enfocadas a la Efectividad del Manejo,"Jorge Fabricant – Técnico Dirección de Ordenamiento Territorial, Suelos y Lucha contra la Desertificación, del Ministerio de Ambiente y Desarrollo Sustentable",2018,Spanish,FALSE,FALSE
